boot_id,success,message,objective,n_markets,delta_B,lambda_S,phi_K,k0,k1,gamma_S
53,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,71.53903162207395,7324,0.9385705966301073,0.2119208756880175,5.633363498239594,1.2254393663290497,4.474352180472088,0.8453198127728789
54,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,45.448798717336004,7324,0.9258879014986713,0.15752499316199747,3.337317235839644,1.6054904177897538,5.0,0.8598149980223293
55,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,65.43220252338041,7324,0.9024045135534754,0.16965941132181572,2.776904404444342,1.5142754346501235,5.0,0.8011651756696971
56,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,31.841335143777133,7324,0.8878057370589735,0.17570485699163205,3.0054072776617415,1.8800006350415615,5.0,0.8316256952338478
57,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,34.52109990255224,7324,0.9466508031314395,0.13551372944809514,1.5364059979323808,1.7257590279851571,5.0,0.7075339038318064
58,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,45.8764288426736,7324,0.8793345655635756,0.15123892172294745,4.309049667727495,1.8013801755557306,3.885838064079147,0.887241521621744
59,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,39.70399782162711,7324,0.9193931979350832,0.23593572132936158,4.888803590830067,1.453172247712628,5.0,0.8275013033896976
60,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,67.30521065137299,7324,0.8936247824355401,0.28591278569625994,5.376609077652098,1.1573621960359113,3.9673175145426827,0.8151536011935653
61,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,34.815738679546456,7324,0.9110473331509731,0.1415672770531775,1.9619938212216528,1.5245534380432697,5.0,0.8617055238747507
62,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,41.09569398661765,7324,0.883051004889821,0.14813330367430474,2.88486933638019,1.811816948455615,5.0,0.8680729946668859
63,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,61.42633964316246,7324,0.8978573963624863,0.22127619713466343,2.1811310825709014,1.6941059522423767,5.0,0.6743511548641521
64,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,50.05635216120006,7324,0.9514139664617559,0.1720465662512702,3.3559327105746295,1.3988921190095578,5.0,0.8457321660036566
65,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,42.965137484419934,7324,0.9503260454473187,0.21492938227068933,5.177279562583696,1.4542605456316977,4.689503215017556,0.8448774851066216
66,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,33.761786728631996,7324,0.9568445755148647,0.12749414505918788,0.6909597049929476,1.7780457650618746,5.0,0.37179603058037514
67,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,33.84223456101655,7324,0.9157155528791964,0.20694535587713786,3.620813571261546,1.408321220430378,5.0,0.7993375313732224
68,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,32.46349622002678,7324,0.8883457617106318,0.20097490856852285,8.0,1.7189062447788042,5.0,0.9045520028203649
69,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,36.24888951449995,7324,0.9348989729045645,0.15442540165440383,1.8867437183495808,1.5538916799095277,5.0,0.8012620378362371
70,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,39.99972206718118,7324,0.9401802714399645,0.1875029683023313,7.012107580523387,1.4228523972210914,4.96962633272526,0.90998250527398
71,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,63.41570584390763,7324,0.9063210640035794,0.12907821976858463,0.6518522485775486,1.591586396875603,5.0,0.4174111298218796
72,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,35.253634934517535,7324,0.9414686119605358,0.17599713736551295,5.694636699015318,1.4692200105768332,5.0,0.9103043621883402
73,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,59.652075246414554,7324,0.9654234278396105,0.20511267419173992,4.36897938144699,1.3050584667060576,5.0,0.8057731443197831
74,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,33.41748633825188,7324,0.8863372348918578,0.16997273864467496,1.2623265816803448,1.6728602395779766,5.0,0.6436991152167485
75,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,40.87735897042508,7324,1.0168317085125604,0.282344299513026,6.623623927274525,1.1531368516052987,5.0,0.83803720241962
76,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,71.03678625974898,7324,0.9160380283149413,0.17110565840337844,7.297815994335442,1.3007076444765715,3.115891300141051,0.9089135155268138
77,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,50.81624957207651,7324,0.9619783285102803,0.06473119551302002,-8.0,3.1927140848640545,5.0,0.9967581514251882
