scenario,alpha_bin,n,mean_share_gap_base,mean_share_gap_cf,mean_share_B_base,mean_share_B_cf,mean_switch_base,mean_switch_cf,delta_share_gap,delta_share_B,delta_switch
remove_switching_frictions,"[7.5, 10.0)",692,0.5367449797814249,0.4480679125047262,0.7683724898907125,0.7240339562523631,0.2839310647241609,0.34039355942070965,-0.08867706727669866,-0.04433853363834939,0.05646249469654874
remove_switching_frictions,"[10.0, 15.0)",343,0.5248429554410088,0.45963289103965055,0.7624214777205044,0.7298164455198253,0.3458287459553423,0.3946513517931282,-0.06521006440135824,-0.03260503220067912,0.048822605837785915
blur_matches_opensea_enforcement,"[0.0, 1.0)",126,0.6690499831457953,0.677840127674377,0.8345249915728977,0.8389200638371884,0.17222847432725896,0.16794196450126322,0.008790144528581623,0.0043950722642907,-0.004286509825995738
blur_matches_opensea_enforcement,"[1.0, 2.5)",52,0.442509766289696,0.47543672303106355,0.721254883144848,0.7377183615155318,0.354737881171048,0.3403991193829062,0.03292695674136753,0.01646347837068385,-0.014338761788141807
blur_matches_opensea_enforcement,"[2.5, 5.0)",1178,0.6512536121084604,0.6568709708442897,0.8256268060542302,0.8284354854221448,0.2115802247079596,0.20893270545256706,0.005617358735829248,0.002808679367914624,-0.0026475192553925275
blur_matches_opensea_enforcement,"[5.0, 7.5)",4933,0.5419032708314261,0.5363203123693078,0.770951635415713,0.7681601561846539,0.284035495913358,0.2846989065812946,-0.005582958462118315,-0.0027914792310590464,0.0006634106679365703
blur_matches_opensea_enforcement,"[7.5, 10.0)",692,0.5367449797814249,0.5207657053190418,0.7683724898907125,0.7603828526595208,0.2839310647241609,0.2884442019149403,-0.01597927446238312,-0.007989637231191726,0.004513137190779393
blur_matches_opensea_enforcement,"[10.0, 15.0)",343,0.5248429554410088,0.4888316132870718,0.7624214777205044,0.7444158066435359,0.3458287459553423,0.34840020703896113,-0.036011342153936976,-0.018005671076968488,0.002571461083618831
zero_enforcement_preference,"[0.0, 1.0)",126,0.6690499831457953,0.6714105578581198,0.8345249915728977,0.8357052789290599,0.17222847432725896,0.1710788146635732,0.002360574712324426,0.0011802873561621574,-0.0011496596636857703
zero_enforcement_preference,"[1.0, 2.5)",52,0.442509766289696,0.4833689745155826,0.721254883144848,0.7416844872577913,0.354737881171048,0.33879603107936196,0.04085920822588657,0.020429604112943367,-0.015941850091686027
zero_enforcement_preference,"[2.5, 5.0)",1178,0.6512536121084604,0.6648965339735111,0.8256268060542302,0.8324482669867554,0.2115802247079596,0.20615944972922054,0.013642921865050672,0.006821460932525225,-0.005420774978739051
zero_enforcement_preference,"[5.0, 7.5)",4933,0.5419032708314261,0.5568450130403327,0.770951635415713,0.7784225065201663,0.284035495913358,0.2809095062719599,0.01494174220890665,0.007470871104453325,-0.0031259896413981525
zero_enforcement_preference,"[7.5, 10.0)",692,0.5367449797814249,0.5469056299183686,0.7683724898907125,0.7734528149591842,0.2839310647241609,0.2820102124012826,0.010160650136943672,0.005080325068471669,-0.001920852322878308
zero_enforcement_preference,"[10.0, 15.0)",343,0.5248429554410088,0.5393210268345581,0.7624214777205044,0.769660513417279,0.3458287459553423,0.3462691506886187,0.014478071393549286,0.007239035696774643,0.0004404047332763894
zero_price_dependent_switching,"[0.0, 1.0)",126,0.6690499831457953,0.5403195667641779,0.8345249915728977,0.770159783382089,0.17222847432725896,0.23658749806518362,-0.12873041638161742,-0.06436520819080871,0.06435902373792465
zero_price_dependent_switching,"[1.0, 2.5)",52,0.442509766289696,0.48775844122244993,0.721254883144848,0.7438792206112249,0.354737881171048,0.30917150112021097,0.04524867493275392,0.02262433746637693,-0.04556638005083702
